earnings for pretty woman,O-earnings O-for B-movie.name I-movie.name,0.99620834401212,revenue,0.5381755391374l
search budget for the movie epic,O-search O-budget O-for O-the O-movie B-movie.name,0.99996819152244,movie,0.86031036531885
genre for batman,O-genre O-for B-movie.name,0.99915941559638,genre,0.41529150090194
what country filed les mes,O-what O-country B-movie.name B-movie.name I-movie.name,0.16163669411917,country,0.94333952742981
who are the lead actors,O-who O-are O-the O-lead O-actors,0.99999996758108,actor,0.99033100701849
twilight director,B-movie.name O-director,1,director,0.75223921743215
star of facts of life,B-movie.name I-movie.name O-facts O-of B-movie.name,0.84664628355058,movie,0.99220582331007
show me who directed the sound of music,O-show O-me O-who O-directed B-movie.name I-movie.name I-movie.name I-movie.name,0.99897865481539,movie,0.96223632783687
show me the budget for expendables 1,O-show O-me O-the O-budget O-for B-movie.name I-movie.name,0.80871393724492,movie,0.96896749049131
Fatal error: Allowed memory size of 134217728 bytes exhausted (tried to allocate 133 bytes) in /Users/federicogiuggioloni/Projects/websites/sds/php/FstSlu.php on line 50
i want to see movies with hugh jackman,O-i O-want O-to O-see O-movies O-with B-actor.name I-actor.name,0.99988190648205,movie,0.99999997909563
movie producers,O-movie O-producers,0.99972506475838,movie,0.2731587953331
what other films has arthur ruddy done,O-what O-other O-films O-has B-producer.name I-producer.name O-done,0.73110716286088,movie,0.99999896620968
give me a list of some japanese movies,O-give O-me O-a O-list O-of O-some B-movie.language O-movies,0.59199046862899,movie,0.99999999995069
did ray stark produce steel magnolias,O-did B-producer.name I-producer.name O-produce B-movie.name I-movie.name,0.99783456367042,movie,0.97937703453768
jennifer aniston bio,B-actor.name I-actor.name O-bio,1,movie,0.19672637287921
i want to see spielberg 's main page,O-i O-want O-to O-see B-person.name O-'s O-main O-page,0.99990032604144,movie,0.99999869025016
show information page for finding nemo,O-show O-information O-page O-for B-movie.name I-movie.name,0.99994257671161,movie,0.99999209942785
what language is secrets and lies in,O-what O-language O-is B-movie.name I-movie.name I-movie.name O-in,0.95026562725612,movie,0.99834685935813
find some mysteries,O-find O-some B-movie.genre,0.88892608783994,movie,0.98173511491379
select rio in chinese,O-select B-movie.name O-in B-movie.language,0.76885065197752,movie,0.96591048957184
king 's speech production company,I-movie.name O-'s B-producer.name O-production O-company,0.27985376562232,producer,0.55954505464055
i love taye diggs,O-i O-love B-actor.name I-actor.name,0.99862659669013,movie,0.9424354664153
find the steven spielberg movies,O-find O-the B-director.name I-director.name O-movies,0.60798426793397,movie,0.99999338049315
show me all rated r movies by paramount,O-show O-me O-all O-rated B-rating.name O-movies O-by B-producer.name,0.99998416304061,movie,0.99999999969419
what movies has robert wise directed,O-what O-movies O-has B-director.name I-director.name O-directed,0.99999985142482,movie,0.99999951813551
what company developed the movie inception,O-what O-company B-producer.name O-the O-movie B-movie.name,0.56327009324474,movie,0.93834279601599
what are popular movie producers,O-what O-are O-popular O-movie O-producers,0.9995188212575,movie,0.99231896984483
find movies with a pg rating,O-find O-movies O-with O-a B-rating.name O-rating,0.99999987279863,movie,0.99999878855868
show me will ferrell 's bio,O-show O-me B-actor.name I-actor.name O-'s O-bio,0.9666719407889,movie,0.98353938602555
what was the budget for batman begins,O-what O-was O-the O-budget O-for B-movie.name I-movie.name,0.99999972564598,budget,0.98772763248397
movie 's release date,O-movie O-'s O-release O-date,0.99600974338463,release_date,0.56232230403873
ethel actress from i love lucy,B-character.name O-actress O-from B-movie.name I-movie.name I-movie.name,0.92373087161235,movie,0.73172053094046
movies by stephen spielberg,O-movies O-by B-director.name I-director.name,0.99914977574909,movie,0.9999828087341
how many movies are longer than 100 minutes,O-how O-many O-movies O-are B-movie.gross_revenue I-movie.gross_revenue I-movie.gross_revenue O-minutes,0.76948595843434,movie,0.90162988096444
is mark hamill in star wars,O-is B-movie.name I-movie.name O-in B-movie.name I-movie.name,0.67170277782045,movie,0.9928145787944
